category_id press_id journalist_id name subscribers_count articles_count cheer_counts
6 655 76974 김기수 2017 97 0
6 655 77054 구준회 893 111 0
6 655 76978 이민아 1976 111 0
6 655 77057 장원석 382 34 0
6 655 78027 김유찬 516 27 0
6 655 77080 조용광 0 49 0
6 655 79205 김근혁 0 26 0
6 655 77061 안정은 0 37 0
6 655 79224 김준수 0 24 0
6 655 77078 최병천 0 20 0
6 655 76975 진기훈 313 29 0
6 655 76980 박희성 193 29 0
6 655 77082 이윤영 0 34 0
6 655 77056 조상우 324 60 0
6 655 77093 홍우표 710 50 0
6 655 79526 김성은  18 0
6 655 76977 이태현 366 35 0
6 655 79209 송신의 115 28 0
6 655 77089 박언 0 0 0
6 655 79204 이천기 149 31 0
6 655 76982 김세희 0 42 0
6 655 77067 신현종 0 0 0
6 655 79223 주홍정 0 0 0
6 655 77090 김종기 67 0 0
6 661 77092 하창훈 355 50 0
6 661 77077 김지훈 2492 0 0
6 661 77438 신동원 1251 131 0
6 661 79532 김재연 0 149 0
6 661 77086 강명철 356 29 0
6 661 79361 안수경 0 94 0
6 661 77060 이효형 1295 108 0
6 661 77198 오일령 0 30 0
6 661 77038 강석창 413 39 0
6 661 77087 권민지 0 103 0
6 661 79728 부현일 0 20 0
6 661 78191 정용기 799 95 0
6 661 77073 윤인수 310 0 0
6 661 77079 김동은 449 24 0
6 661 77194 고승한 0 14 0
6 661 77081 신효은  0 0
6 661 77039 조창범 188 0 0
6 661 77074 강효섭 0 0 0
1 437 71550 홍지용 1255 24 0
1 437 76733 이세현 5311 81 0
1 437 15018 온누리 2102 14 0
1 437 79394 김지윤 339 14 0
1 437 78056 박상후 4038 280 0
1 437 79434 김휘란 1265 0 0
1 437 58352 한민용 4300 0 0
1 437 70896 이수진 1947 46 0
1 437 74058 정아람 1484 10 0
1 437 46006 오선민 1526 19 0
1 437 72027 조소희 1250 0 0
1 437 79427 정수아 277 0 0
1 437 76954 윤정주 1078 11 0
1 437 15047 박성훈 1592 0 0
1 437 76652 이승환 1483 15 0
1 437 76937 권민재 895 0 0
1 437 70762 공다솜 1254 10 0
1 437 71552 정종문 847 15 0
1 437 47416 신진 1553 22 0
1 437 71549 하혜빈 1519 14 0
1 437 15039 유한울 2311 0 0
1 437 70038 이예원 1149 12 0
1 437 16086 구혜진 2226 0 0
1 437 70873 배양진 1480 11 0
1 437 50490 최하은 1635 0 0
1 437 79068 최연수 328 0 0
1 437 70129 황예린 1265 0 0
1 437 73680 조승현 766 0 0
1 437 16083 이상화 1378 12 0
1 437 15045 박진규 1592 84 0
1 437 72576 이자연 2722 50 0
1 437 34767 박사라 1068 10 0
1 437 15078 신혜원 4777 91 0
1 437 72026 노진호 329 0 0
1 437 76125 박정선 3426 222 0
1 437 15044 이한주 2574 60 0
1 437 79436 이지현 537 24 0
1 437 76123 황소영 3358 320 0
1 437 74211 유혜은 9513 73 0
1 437 15475 안태훈 2924 73 0
1 437 74171 한류경 6304 74 0
1 437 74172 김천 9617 78 0
1 437 76122 김진석 3247 73 0
1 437 76124 조연경 7312 300 0
1 437 79432 송혜수 1748 85 0
1 437 79433 김태인 1516 71 0
1 437 15019 백종훈 5055 61 0
1 437 74287 김하은 1092 87 0
1 437 15049 이가혁 4160 27 0
1 437 15446 윤정식 2282 13 0
1 437 79435 장영준 1591 92 0
1 437 15074 이재승 1519 69 0
1 437 77374 김선우 3165 178 0
1 437 76734 장연제 6624 100 0
1 437 28134 배승주 3490 0 0
1 437 47329 윤두열 2013 0 0
1 437 15538 윤샘이나 1996 0 0
1 437 15435 정제윤 2689 0 0
1 437 76947 오원석 845 12 0
